target_path,source_path,target_kind,decision,category,priority,status,message
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Red/Digimon/AD1_005.json,Assets/CardBaseEntity/AD1/Red/Digimon/AD1_005.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Red/Digimon/AD1_005_P1.json,Assets/CardBaseEntity/AD1/Red/Digimon/AD1_005_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Red/Digimon/AD1_006.json,Assets/CardBaseEntity/AD1/Red/Digimon/AD1_006.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Red/Digimon/AD1_006_P1.json,Assets/CardBaseEntity/AD1/Red/Digimon/AD1_006_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Red/Digimon/AD1_007.json,Assets/CardBaseEntity/AD1/Red/Digimon/AD1_007.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Red/Digimon/AD1_007_P1.json,Assets/CardBaseEntity/AD1/Red/Digimon/AD1_007_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Red/Digimon/AD1_008.json,Assets/CardBaseEntity/AD1/Red/Digimon/AD1_008.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Red/Digimon/AD1_008_P1.json,Assets/CardBaseEntity/AD1/Red/Digimon/AD1_008_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Red/Digimon/AD1_009.json,Assets/CardBaseEntity/AD1/Red/Digimon/AD1_009.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Red/Digimon/AD1_009_P1.json,Assets/CardBaseEntity/AD1/Red/Digimon/AD1_009_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Red/Digimon/AD1_025.json,Assets/CardBaseEntity/AD1/Red/Digimon/AD1_025.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Red/Digimon/AD1_025_P1.json,Assets/CardBaseEntity/AD1/Red/Digimon/AD1_025_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Yellow/Digimon/AD1_015.json,Assets/CardBaseEntity/AD1/Yellow/Digimon/AD1_015.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Yellow/Digimon/AD1_015_P1.json,Assets/CardBaseEntity/AD1/Yellow/Digimon/AD1_015_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Yellow/Digimon/AD1_016.json,Assets/CardBaseEntity/AD1/Yellow/Digimon/AD1_016.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Yellow/Digimon/AD1_016_P1.json,Assets/CardBaseEntity/AD1/Yellow/Digimon/AD1_016_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Yellow/Digimon/AD1_017.json,Assets/CardBaseEntity/AD1/Yellow/Digimon/AD1_017.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Yellow/Digimon/AD1_017_P1.json,Assets/CardBaseEntity/AD1/Yellow/Digimon/AD1_017_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Yellow/Tamer/AD1_021.json,Assets/CardBaseEntity/AD1/Yellow/Tamer/AD1_021.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1/Yellow/Tamer/AD1_021_P1.json,Assets/CardBaseEntity/AD1/Yellow/Tamer/AD1_021_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/DigiEgg/BT1_003.json,Assets/CardBaseEntity/BT1/Blue/DigiEgg/BT1_003.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/DigiEgg/BT1_003_P1.json,Assets/CardBaseEntity/BT1/Blue/DigiEgg/BT1_003_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/DigiEgg/BT1_003_P2.json,Assets/CardBaseEntity/BT1/Blue/DigiEgg/BT1_003_P2.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/DigiEgg/BT1_003_P3.json,Assets/CardBaseEntity/BT1/Blue/DigiEgg/BT1_003_P3.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_003_P1.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_003_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_003_P2.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_003_P2.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_004.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_004.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_027.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_027.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_028.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_028.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_028_P1.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_028_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_029.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_029.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_029_P1.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_029_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_029_P2.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_029_P2.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_029_P3.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_029_P3.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_029_P4.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_029_P4.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_029_P5.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_029_P5.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_030.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_030.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_031.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_031.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_032.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_032.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_033.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_033.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_034.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_034.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_035.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_035.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_035_P1.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_035_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_035_P2.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_035_P2.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
