GroupId,Set,Color,CardCount,SourceDir,TestProject,GoalId
BT5/White,BT5,White,11,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT5/White,CardEffect.BT5.White.Tests,CARDS-BT5-White
BT5/Yellow,BT5,Yellow,13,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT5/Yellow,CardEffect.BT5.Yellow.Tests,CARDS-BT5-Yellow
BT6/Black,BT6,Black,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT6/Black,CardEffect.BT6.Black.Tests,CARDS-BT6-Black
BT6/Blue,BT6,Blue,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT6/Blue,CardEffect.BT6.Blue.Tests,CARDS-BT6-Blue
BT6/Green,BT6,Green,11,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT6/Green,CardEffect.BT6.Green.Tests,CARDS-BT6-Green
BT6/Purple,BT6,Purple,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT6/Purple,CardEffect.BT6.Purple.Tests,CARDS-BT6-Purple
BT6/Red,BT6,Red,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT6/Red,CardEffect.BT6.Red.Tests,CARDS-BT6-Red
BT6/White,BT6,White,7,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT6/White,CardEffect.BT6.White.Tests,CARDS-BT6-White
BT6/Yellow,BT6,Yellow,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT6/Yellow,CardEffect.BT6.Yellow.Tests,CARDS-BT6-Yellow
BT7/Black,BT7,Black,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT7/Black,CardEffect.BT7.Black.Tests,CARDS-BT7-Black
BT7/Blue,BT7,Blue,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT7/Blue,CardEffect.BT7.Blue.Tests,CARDS-BT7-Blue
BT7/Green,BT7,Green,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT7/Green,CardEffect.BT7.Green.Tests,CARDS-BT7-Green
BT7/Purple,BT7,Purple,19,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT7/Purple,CardEffect.BT7.Purple.Tests,CARDS-BT7-Purple
BT7/Red,BT7,Red,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT7/Red,CardEffect.BT7.Red.Tests,CARDS-BT7-Red
BT7/White,BT7,White,7,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT7/White,CardEffect.BT7.White.Tests,CARDS-BT7-White
BT7/Yellow,BT7,Yellow,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT7/Yellow,CardEffect.BT7.Yellow.Tests,CARDS-BT7-Yellow
BT8/Black,BT8,Black,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT8/Black,CardEffect.BT8.Black.Tests,CARDS-BT8-Black
BT8/Blue,BT8,Blue,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT8/Blue,CardEffect.BT8.Blue.Tests,CARDS-BT8-Blue
BT8/Green,BT8,Green,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT8/Green,CardEffect.BT8.Green.Tests,CARDS-BT8-Green
BT8/Purple,BT8,Purple,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT8/Purple,CardEffect.BT8.Purple.Tests,CARDS-BT8-Purple
BT8/Red,BT8,Red,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT8/Red,CardEffect.BT8.Red.Tests,CARDS-BT8-Red
BT8/White,BT8,White,4,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT8/White,CardEffect.BT8.White.Tests,CARDS-BT8-White
BT8/Yellow,BT8,Yellow,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT8/Yellow,CardEffect.BT8.Yellow.Tests,CARDS-BT8-Yellow
BT9/Black,BT9,Black,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT9/Black,CardEffect.BT9.Black.Tests,CARDS-BT9-Black
BT9/Blue,BT9,Blue,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT9/Blue,CardEffect.BT9.Blue.Tests,CARDS-BT9-Blue
BT9/Green,BT9,Green,12,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT9/Green,CardEffect.BT9.Green.Tests,CARDS-BT9-Green
BT9/Purple,BT9,Purple,19,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT9/Purple,CardEffect.BT9.Purple.Tests,CARDS-BT9-Purple
BT9/Red,BT9,Red,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT9/Red,CardEffect.BT9.Red.Tests,CARDS-BT9-Red
BT9/White,BT9,White,4,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT9/White,CardEffect.BT9.White.Tests,CARDS-BT9-White
BT9/Yellow,BT9,Yellow,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT9/Yellow,CardEffect.BT9.Yellow.Tests,CARDS-BT9-Yellow
BT10/Black,BT10,Black,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT10/Black,CardEffect.BT10.Black.Tests,CARDS-BT10-Black
BT10/Blue,BT10,Blue,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT10/Blue,CardEffect.BT10.Blue.Tests,CARDS-BT10-Blue
BT10/Green,BT10,Green,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT10/Green,CardEffect.BT10.Green.Tests,CARDS-BT10-Green
BT10/Purple,BT10,Purple,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT10/Purple,CardEffect.BT10.Purple.Tests,CARDS-BT10-Purple
BT10/Red,BT10,Red,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT10/Red,CardEffect.BT10.Red.Tests,CARDS-BT10-Red
BT10/White,BT10,White,4,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT10/White,CardEffect.BT10.White.Tests,CARDS-BT10-White
BT10/Yellow,BT10,Yellow,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT10/Yellow,CardEffect.BT10.Yellow.Tests,CARDS-BT10-Yellow
BT11/Black,BT11,Black,22,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT11/Black,CardEffect.BT11.Black.Tests,CARDS-BT11-Black
BT11/Blue,BT11,Blue,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT11/Blue,CardEffect.BT11.Blue.Tests,CARDS-BT11-Blue
BT11/Green,BT11,Green,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT11/Green,CardEffect.BT11.Green.Tests,CARDS-BT11-Green
