90	81	CardEffect/BT1/Yellow/BT1_063.cs
75	124	CardEffect/BT1/Yellow/BT1_087.cs
29	48	CardEffect/BT1/Yellow/BT1_102.cs
53	100	CardEffect/BT1/Yellow/BT1_103.cs
80	164	CardEffect/BT1/Yellow/BT1_104.cs
40	75	CardEffect/BT1/Yellow/BT1_105.cs
34	73	CardEffect/BT1/Yellow/BT1_106.cs
28	46	CardEffect/BT1/Yellow/BT1_107.cs
47	37	CardEffect/BT10/Black/BT10_005.cs
102	92	CardEffect/BT10/Black/BT10_058.cs
244	234	CardEffect/BT10/Black/BT10_059.cs
92	82	CardEffect/BT10/Black/BT10_060.cs
253	243	CardEffect/BT10/Black/BT10_061.cs
83	73	CardEffect/BT10/Black/BT10_063.cs
369	359	CardEffect/BT10/Black/BT10_066.cs
224	214	CardEffect/BT10/Black/BT10_067.cs
250	240	CardEffect/BT10/Black/BT10_068.cs
246	236	CardEffect/BT10/Black/BT10_069.cs
190	180	CardEffect/BT10/Black/BT10_070.cs
176	166	CardEffect/BT10/Black/BT10_092.cs
198	188	CardEffect/BT10/Black/BT10_104.cs
194	184	CardEffect/BT10/Black/BT10_105.cs
303	293	CardEffect/BT10/Black/BT10_106.cs
67	57	CardEffect/BT10/Blue/BT10_002.cs
128	118	CardEffect/BT10/Blue/BT10_018.cs
199	189	CardEffect/BT10/Blue/BT10_019.cs
90	80	CardEffect/BT10/Blue/BT10_020.cs
242	232	CardEffect/BT10/Blue/BT10_021.cs
130	120	CardEffect/BT10/Blue/BT10_023.cs
195	185	CardEffect/BT10/Blue/BT10_024.cs
139	129	CardEffect/BT10/Blue/BT10_025.cs
666	656	CardEffect/BT10/Blue/BT10_026.cs
268	258	CardEffect/BT10/Blue/BT10_027.cs
122	112	CardEffect/BT10/Blue/BT10_028.cs
141	131	CardEffect/BT10/Blue/BT10_088.cs
162	153	CardEffect/BT10/Blue/BT10_097.cs
202	192	CardEffect/BT10/Blue/BT10_098.cs
91	81	CardEffect/BT10/Green/BT10_004.cs
141	131	CardEffect/BT10/Green/BT10_044.cs
78	68	CardEffect/BT10/Green/BT10_045.cs
96	86	CardEffect/BT10/Green/BT10_046.cs
255	245	CardEffect/BT10/Green/BT10_048.cs
86	76	CardEffect/BT10/Green/BT10_049.cs
44	34	CardEffect/BT10/Green/BT10_050.cs
80	70	CardEffect/BT10/Green/BT10_051.cs
399	389	CardEffect/BT10/Green/BT10_052.cs
245	235	CardEffect/BT10/Green/BT10_053.cs
176	166	CardEffect/BT10/Green/BT10_054.cs
241	231	CardEffect/BT10/Green/BT10_056.cs
148	138	CardEffect/BT10/Green/BT10_057.cs
324	314	CardEffect/BT10/Green/BT10_090.cs
139	129	CardEffect/BT10/Green/BT10_091.cs
165	155	CardEffect/BT10/Green/BT10_102.cs
176	166	CardEffect/BT10/Green/BT10_103.cs
77	67	CardEffect/BT10/Purple/BT10_006.cs
44	34	CardEffect/BT10/Purple/BT10_071.cs
228	218	CardEffect/BT10/Purple/BT10_072.cs
172	162	CardEffect/BT10/Purple/BT10_073.cs
34	24	CardEffect/BT10/Purple/BT10_074.cs
250	240	CardEffect/BT10/Purple/BT10_075.cs
208	198	CardEffect/BT10/Purple/BT10_076.cs
271	261	CardEffect/BT10/Purple/BT10_077.cs
151	141	CardEffect/BT10/Purple/BT10_078.cs
281	271	CardEffect/BT10/Purple/BT10_080.cs
177	167	CardEffect/BT10/Purple/BT10_081.cs
280	270	CardEffect/BT10/Purple/BT10_082.cs
246	236	CardEffect/BT10/Purple/BT10_083.cs
348	222	CardEffect/BT10/Purple/BT10_084.cs
512	502	CardEffect/BT10/Purple/BT10_093.cs
312	302	CardEffect/BT10/Purple/BT10_107.cs
146	136	CardEffect/BT10/Purple/BT10_108.cs
50	40	CardEffect/BT10/Red/BT10_001.cs
39	29	CardEffect/BT10/Red/BT10_007.cs
148	139	CardEffect/BT10/Red/BT10_008.cs
