rel	units_total	units_kept	units_deleted	comment_lines_deleted	comment_lines_kept	physical_lines_removed	token_gate	note
CardEffect/BT1/Yellow/BT1_054.cs	13	0	13	13	0	13	PASS	
CardEffect/BT1/Yellow/BT1_055.cs	7	0	7	7	0	7	PASS	
CardEffect/BT1/Yellow/BT1_056.cs	12	0	12	12	0	12	PASS	
CardEffect/BT1/Yellow/BT1_061.cs	13	0	13	13	0	13	PASS	
CardEffect/BT1/Yellow/BT1_062.cs	6	0	6	6	0	6	PASS	
CardEffect/BT1/Yellow/BT1_087.cs	27	0	27	27	0	27	PASS	
CardEffect/BT1/Yellow/BT1_102.cs	9	0	9	9	0	9	PASS	
CardEffect/BT1/Yellow/BT1_103.cs	14	0	14	14	0	14	PASS	
CardEffect/BT1/Yellow/BT1_104.cs	25	0	25	25	0	25	PASS	
CardEffect/BT1/Yellow/BT1_105.cs	14	0	14	14	0	14	PASS	
CardEffect/BT1/Yellow/BT1_106.cs	5	0	5	5	0	5	PASS	
CardEffect/BT1/Yellow/BT1_107.cs	8	0	8	8	0	8	PASS	
CardEffect/BT10/Purple/BT10_084.cs	32	0	32	32	0	32	PASS	
CardEffect/BT10/Red/BT10_111.cs	37	0	37	37	0	37	PASS	
CardEffect/BT10/White/BT10_086.cs	41	0	41	41	0	41	PASS	
CardEffect/BT12/Yellow/BT12_044.cs	41	1	40	40	1	40	PASS	
CardEffect/BT13/Blue/BT13_023.cs	12	0	12	12	0	12	PASS	
CardEffect/BT13/Blue/BT13_028.cs	38	0	38	38	0	38	PASS	
CardEffect/BT13/Blue/BT13_033.cs	44	0	44	44	0	44	PASS	
CardEffect/BT14/Black/BT14_097.cs	33	0	33	33	0	33	PASS	
CardEffect/BT14/Blue/BT14_030.cs	52	0	52	52	0	52	PASS	
CardEffect/BT14/Purple/BT14_081.cs	36	0	36	36	0	36	PASS	
CardEffect/BT14/Red/BT14_018.cs	38	0	38	38	0	38	PASS	
CardEffect/BT14/Yellow/BT14_035.cs	9	0	9	9	0	9	PASS	
CardEffect/BT15/Blue/BT15_083.cs	22	1	21	21	1	21	PASS	
CardEffect/BT15/Purple/BT15_078.cs	21	1	20	20	1	20	PASS	
CardEffect/BT15/Red/BT15_082.cs	31	0	31	31	0	31	PASS	
CardEffect/BT15/White/BT15_102.cs	26	0	26	26	0	26	PASS	
CardEffect/BT15/Yellow/BT15_037.cs	14	0	14	14	0	14	PASS	
CardEffect/BT16/Black/BT16_052.cs	26	0	26	26	0	26	PASS	
CardEffect/BT16/Blue/BT16_025.cs	42	0	42	42	0	42	PASS	
CardEffect/BT16/Yellow/BT16_033.cs	17	0	17	17	0	17	PASS	
CardEffect/BT17/Blue/BT17_026.cs	59	0	59	59	0	59	PASS	
CardEffect/BT17/Purple/BT17_068.cs	39	0	39	39	0	39	PASS	
CardEffect/BT17/Red/BT17_095.cs	71	0	71	71	0	71	PASS	
CardEffect/BT18/Black/BT18_065.cs	31	0	31	31	0	31	PASS	
CardEffect/BT18/Yellow/BT18_034.cs	43	0	43	43	0	43	PASS	
CardEffect/BT18/Yellow/BT18_042.cs	55	0	55	55	0	55	PASS	
CardEffect/BT18/Yellow/BT18_098.cs	40	0	40	40	0	40	PASS	
CardEffect/BT19/Black/BT19_061.cs	18	0	18	18	0	18	PASS	
CardEffect/BT19/Blue/BT19_024.cs	30	0	30	30	0	30	PASS	
CardEffect/BT19/Blue/BT19_081.cs	30	0	30	30	0	30	PASS	
CardEffect/BT19/Purple/BT19_071.cs	15	0	15	15	0	15	PASS	
CardEffect/BT19/Red/BT19_089.cs	45	0	45	45	0	45	PASS	
CardEffect/BT19/Red/BT19_091.cs	37	0	37	37	0	37	PASS	
CardEffect/BT19/Yellow/BT19_035.cs	15	0	15	15	0	15	PASS	
CardEffect/BT2/Black/BT2_005.cs	6	0	6	6	0	6	PASS	
CardEffect/BT2/Black/BT2_006.cs	8	0	8	8	0	8	PASS	
CardEffect/BT2/Black/BT2_053.cs	8	0	8	8	0	8	PASS	
CardEffect/BT2/Black/BT2_055.cs	6	0	6	6	0	6	PASS	
CardEffect/BT2/Black/BT2_057.cs	4	0	4	4	0	4	PASS	
CardEffect/BT2/Black/BT2_058.cs	7	0	7	7	0	7	PASS	
CardEffect/BT2/Black/BT2_062.cs	14	0	14	14	0	14	PASS	
CardEffect/BT2/Black/BT2_063.cs	10	0	10	10	0	10	PASS	
CardEffect/BT2/Black/BT2_065.cs	6	0	6	6	0	6	PASS	
CardEffect/BT2/Black/BT2_066.cs	30	0	30	30	0	30	PASS	
CardEffect/BT2/Black/BT2_112.cs	22	0	22	22	0	22	PASS	
CardEffect/BT2/Blue/BT2_002.cs	12	0	12	12	0	12	PASS	
CardEffect/BT2/Blue/BT2_023.cs	12	0	12	12	0	12	PASS	
CardEffect/BT2/Blue/BT2_025.cs	15	0	15	15	0	15	PASS	
CardEffect/BT2/Blue/BT2_026.cs	8	0	8	8	0	8	PASS	
CardEffect/BT2/Blue/BT2_029.cs	0	0	0	0	0	0	NOOP	
CardEffect/BT2/Blue/BT2_031.cs	9	0	9	9	0	9	PASS	
CardEffect/BT2/Blue/BT2_085.cs	15	0	15	15	0	15	PASS	
CardEffect/BT2/Blue/BT2_095.cs	12	0	12	12	0	12	PASS	
CardEffect/BT2/Green/BT2_044.cs	17	0	17	17	0	17	PASS	
CardEffect/BT2/Green/BT2_045.cs	11	0	11	11	0	11	PASS	
CardEffect/BT2/Green/BT2_047.cs	28	0	28	28	0	28	PASS	
CardEffect/BT2/Green/BT2_050.cs	13	0	13	13	0	13	PASS	
CardEffect/BT2/Green/BT2_051.cs	17	0	17	17	0	17	PASS	
