relpath,layer,in_asis,in_tobe,pair_state,card_state
CardEffect/BT1/Green/BT1_088.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Green/BT1_089.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Green/BT1_108.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Green/BT1_109.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Green/BT1_110.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Green/BT1_111.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Green/BT1_112.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Green/BT1_113.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_001.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_002.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_010.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_011.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_012.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_015.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_016.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_017.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_018.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_021.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_022.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_023.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_025.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_026.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_085.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_090.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_091.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_092.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_093.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_094.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_095.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Red/BT1_114.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/White/BT1_084.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_005.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_006.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_046.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_048.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_049.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_053.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_054.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_055.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_056.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_060.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT1/Yellow/BT1_061.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_062.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_063.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT1/Yellow/BT1_087.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_102.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_103.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_104.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_105.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_106.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT1/Yellow/BT1_107.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT10/Black/BT10_005.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Black/BT10_058.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Black/BT10_059.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Black/BT10_060.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Black/BT10_061.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Black/BT10_063.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Black/BT10_066.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Black/BT10_067.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Black/BT10_068.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Black/BT10_069.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Black/BT10_070.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Black/BT10_092.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Black/BT10_104.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Black/BT10_105.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Black/BT10_106.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Blue/BT10_002.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Blue/BT10_018.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Blue/BT10_019.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Blue/BT10_020.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Blue/BT10_021.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Blue/BT10_023.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Blue/BT10_024.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Blue/BT10_025.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Blue/BT10_026.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Blue/BT10_027.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Blue/BT10_028.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Blue/BT10_088.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Blue/BT10_097.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Blue/BT10_098.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_004.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_044.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_045.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_046.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_048.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_049.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_050.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_051.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_052.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_053.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_054.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_056.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_057.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_090.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_091.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_102.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Green/BT10_103.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_006.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_071.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_072.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_073.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_074.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_075.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_076.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_077.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_078.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_080.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_081.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_082.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_083.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_084.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT10/Purple/BT10_093.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_107.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Purple/BT10_108.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Red/BT10_001.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Red/BT10_007.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Red/BT10_008.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Red/BT10_009.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Red/BT10_011.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Red/BT10_012.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Red/BT10_013.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Red/BT10_014.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Red/BT10_015.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Red/BT10_016.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Red/BT10_087.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Red/BT10_094.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Red/BT10_095.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Red/BT10_096.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Red/BT10_111.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT10/Red/BT10_112.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/White/BT10_085.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/White/BT10_086.cs,CardEffect,Y,Y,BOTH,IMPL
CardEffect/BT10/White/BT10_109.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/White/BT10_110.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_003.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_029.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_030.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_031.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_032.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_034.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_035.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_036.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_038.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_039.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_040.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_041.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_042.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_089.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_099.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_100.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT10/Yellow/BT10_101.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_005.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_060.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_061.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_062.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_063.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_064.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_065.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_067.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_068.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_069.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_070.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_071.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_072.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_073.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_074.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_092.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_093.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_105.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_106.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_107.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_108.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Black/BT11_111.cs,CardEffect,Y,Y,BOTH,SHELL
